Филиал,План eNPS 2024
Алтайский филиал,29.9
Амурский филиал,37.9
Архангельский филиал,48.9
Астраханский филиал,51.2
Белгородский филиал,59.6
Бурятский филиал,27.0
Волгоградский филиал,45.8
Вологодский филиал,60.3
Воронежский филиал,62.8
Дагестанский филиал,42.0
Екатеринбургский филиал,66.2
Ингушский филиал,74.3
Иркутский филиал,45.3
Кабардино-Балкарский филиал,55.8
Калининградский филиал,49.6
Калмыцкий филиал,57.9
Калужский филиал,69.6
Камчатский филиал,16.5
Карельский филиал,35.2
Кемеровский филиал,32.2
Кировский филиал,43.3
Коми филиал,49.5
Корпоративный центр,48.0
Краснодарский филиал,17.3
Красноярский филиал,39.0
Курский филиал,45.7
Липецкий филиал,44.6
Магаданский филиал,53.3
Макрорегиональный филиал "Северо-Запад",60.3
Макрорегиональный филиал "Центр",24.9
Мурманский филиал,16.2
Нижегородский филиал,23.6
Новосибирский филиал,46.6
Омский филиал,35.2
Оренбургский филиал,42.7
Пензенский филиал,74.6
Пермский филиал,44.4
Приморский филиал,43.1
Ростовский филиал,33.0
Самарский филиал,45.8
Саратовский филиал,30.1
Сахалинский филиал,98.2
Северо-Осетинский филиал,32.5
Смоленский филиал,56.7
Ставропольский филиал,46.7
Тамбовский филиал,35.3
Тверской филиал,58.2
Томский филиал,39.7
Ульяновский филиал,42.0
УПЦ,0.0
Филиал в Брянской и Орловской областях,54.2
Филиал в Новгородской и Псковской областях,77.1
Филиал в Республике Марий Эл,44.8
Филиал в Республике Мордовия,27.3
Филиал в Республике Татарстан,53.5
Филиал в Тульской и Рязанской областях,18.1
Филиал в Тюменской и Курганской областях,5.9
Филиал в Удмуртской Республике,47.0
Филиал в Чувашской Республике,51.2
Филиал в Ярославской и Костромской областях,45.9
Филиал во Владимирской и Ивановской областях,25.1
Филиал ОЦО,61.0
Филиал Сахателеком,5.1
Хабаровский филиал,7.6
Ханты-Мансийский филиал,45.5
Челябинский филиал,25.4
Ямало-Ненецкий филиал,46.1
